in update mr0: q=0.21, mr0=0.97, mult0=0.02, mr1=0.0156, mult1=0.0032, spec_accs_cnt=10000, reg_accs_cnt=3461
in update mr0: q=0.19, mr0=0.97, mult0=0.03, mr1=0.0156, mult1=0.0030, spec_accs_cnt=11000, reg_accs_cnt=3687
in update mr1: q=0.18, mr0=0.97, mult0=0.03, mr1=0.0194, mult1=0.0036, spec_accs_cnt=11982, reg_accs_cnt=4000
in update mr0: q=0.18, mr0=0.95, mult0=0.04, mr1=0.0194, mult1=0.0036, spec_accs_cnt=12000, reg_accs_cnt=4017
in update mr0: q=0.19, mr0=0.93, mult0=0.05, mr1=0.0194, mult1=0.0037, spec_accs_cnt=13000, reg_accs_cnt=4251
in update mr0: q=0.19, mr0=0.92, mult0=0.06, mr1=0.0194, mult1=0.0038, spec_accs_cnt=14000, reg_accs_cnt=4637
in update mr0: q=0.19, mr0=0.92, mult0=0.06, mr1=0.0194, mult1=0.0037, spec_accs_cnt=15000, reg_accs_cnt=4966
in update mr1: q=0.20, mr0=0.92, mult0=0.06, mr1=0.0316, mult1=0.0062, spec_accs_cnt=15184, reg_accs_cnt=5000
in update mr0: q=0.20, mr0=0.94, mult0=0.05, mr1=0.0316, mult1=0.0063, spec_accs_cnt=16000, reg_accs_cnt=5434
in update mr0: q=0.21, mr0=0.95, mult0=0.04, mr1=0.0316, mult1=0.0065, spec_accs_cnt=17000, reg_accs_cnt=5696
in update mr1: q=0.20, mr0=0.95, mult0=0.04, mr1=0.0344, mult1=0.0070, spec_accs_cnt=17829, reg_accs_cnt=6000
in update mr0: q=0.20, mr0=0.95, mult0=0.04, mr1=0.0344, mult1=0.0070, spec_accs_cnt=18000, reg_accs_cnt=6042
in update mr0: q=0.21, mr0=0.94, mult0=0.04, mr1=0.0344, mult1=0.0072, spec_accs_cnt=19000, reg_accs_cnt=6381
in update mr0: q=0.19, mr0=0.92, mult0=0.06, mr1=0.0344, mult1=0.0066, spec_accs_cnt=20000, reg_accs_cnt=6633
in update mr0: q=0.18, mr0=0.92, mult0=0.07, mr1=0.0344, mult1=0.0062, spec_accs_cnt=21000, reg_accs_cnt=6875
in update mr1: q=0.18, mr0=0.92, mult0=0.07, mr1=0.0431, mult1=0.0076, spec_accs_cnt=21456, reg_accs_cnt=7000
in update mr0: q=0.18, mr0=0.91, mult0=0.07, mr1=0.0431, mult1=0.0079, spec_accs_cnt=22000, reg_accs_cnt=7153
in update mr0: q=0.20, mr0=0.93, mult0=0.06, mr1=0.0431, mult1=0.0088, spec_accs_cnt=23000, reg_accs_cnt=7637
in update mr1: q=0.22, mr0=0.93, mult0=0.06, mr1=0.0451, mult1=0.0098, spec_accs_cnt=23940, reg_accs_cnt=8000
in update mr0: q=0.21, mr0=0.92, mult0=0.06, mr1=0.0451, mult1=0.0095, spec_accs_cnt=24000, reg_accs_cnt=8013
in update mr0: q=0.18, mr0=0.89, mult0=0.09, mr1=0.0451, mult1=0.0083, spec_accs_cnt=25000, reg_accs_cnt=8159
in update mr0: q=0.18, mr0=0.89, mult0=0.09, mr1=0.0451, mult1=0.0081, spec_accs_cnt=26000, reg_accs_cnt=8390
in update mr0: q=0.19, mr0=0.89, mult0=0.09, mr1=0.0451, mult1=0.0084, spec_accs_cnt=27000, reg_accs_cnt=8682
in update mr0: q=0.21, mr0=0.91, mult0=0.07, mr1=0.0451, mult1=0.0095, spec_accs_cnt=28000, reg_accs_cnt=8987
